SANPHAM,MASANPHAM,TENSANPHAM,BARCODE,DONVITINH,LOAITIEN,GIAVON,GIABAN,GIADAILY,VAT,BAOHANH,HANGSANXUAT,XUATXU,CHATLIEU,MAUSAC,MOTASANPHAM,GHICHU,TIMEACTION,MA_CHI_NHANH,HOATDONG,KEYACCESS,CYL_ADD,CYL_SUB,SPH_ADD,SPH_SUB,URL_IMAGE,VITRI,MAMAUIN,MASANPHAM_DIS,NHOMSP
21454,1.49 CR S-0.50 C-1.00,Mat can ram 1.49 Korea,N000003975,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21455,1.49 CR S-0.50 C-1.25,Mat can ram 1.49 Korea,N000004016,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21456,1.49 CR S-0.50 C-1.50,Mat can ram 1.49 Korea,N000004057,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21457,1.49 CR S-0.50 C-1.75,Mat can ram 1.49 Korea,N000004098,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21458,1.49 CR S-0.50 C-2.00,Mat can ram 1.49 Korea,N000004139,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21459,1.49 CR S-0.75 C-0.00,Mat can ram 1.49 Korea,N000003851,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21460,1.49 CR S-0.75 C-0.50,Mat can ram 1.49 Korea,N000003893,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21461,1.49 CR S-0.75 C-0.75,Mat can ram 1.49 Korea,N000003935,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21462,1.49 CR S-0.75 C-1.00,Mat can ram 1.49 Korea,N000003976,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
21463,1.49 CR S-0.75 C-1.25,Mat can ram 1.49 Korea,N000004017,,VND,,160000,,10,0,KOREA,5,PC,0,,,16/2/2017,,0,NAMHAI,,,,,,,,,
